ID,Area,Module,File Path,Current Issue,Severity,Priority,Impact,Recommendation,Implementation Steps,Effort,Owner,Risk,Test Plan,Status,Notes
P0-001,Security,Auth / Main,src/main.ts,No Helmet middleware — missing X-Frame-Options / X-Content-Type-Options / HSTS / CSP headers; CORS origin defaults to wildcard true when frontendDomain is not set in production,Critical,P0,"Clickjacking / MIME-sniffing / MITM attacks possible; CORS wildcard leaks data across tenants","Install @nestjs/helmet + configure strict CORS allowlist","1. npm install helmet; 2. Add app.use(helmet()) before other middleware in main.ts; 3. Restrict CORS to explicit frontendDomain list and remove true fallback; 4. Add Content-Security-Policy for API (allow api.* origins); 5. Test with OWASP ZAP header scan",S,Backend,Low — additive change; watch for preflight failures on existing integrations,Run OWASP ZAP baseline scan before/after; verify all frontend CORS flows still work,Open,main.ts line 37-46 — origin:true in else branch is the bug
P0-002,Security,Channels / Crypto,src/channels/domain/crypto.service.ts,Hardcoded deterministic fallback encryption key (dev-fallback-key + crm-dev-salt via scryptSync) used silently when CHANNEL_ENCRYPTION_KEY env var is missing; no production enforcement,Critical,P0,"All channel credentials (Facebook tokens / Gmail OAuth / IMAP passwords) stored encrypted with a known key — any attacker with source code can decrypt all stored credentials","Throw startup error if CHANNEL_ENCRYPTION_KEY missing; enforce KMS in production","1. In onModuleInit() add: if (!rawKey && process.env.NODE_ENV==='production') throw new Error('CHANNEL_ENCRYPTION_KEY is required in production'); 2. Add validation in validate-config.ts for this env var; 3. Generate and set the key in all environments; 4. Plan KMS migration (AWS KMS or HashiCorp Vault) for Phase 2; 5. Add ENCRYPTION_PROVIDER=kms enforcement for production in Q3",M,Backend,Medium — existing environments must set the env var before deploying; coordinate with DevOps,Verify app starts without CHANNEL_ENCRYPTION_KEY in prod-like env and fails fast; verify existing credentials still decrypt correctly after setting key,Open,crypto.service.ts line 46-54 — dev-fallback-key is the hardcoded secret
P0-003,Security,Auth,src/auth/guards/hybrid-auth.guard.ts,refreshTokens(sid) called without try-catch on line 85; if Keycloak is down or refresh token is revoked the exception propagates unhandled and crashes the request pipeline with a 500 instead of 401,Critical,P0,"Users hitting expiring sessions while Keycloak is briefly unavailable get 500 errors; unhandled exceptions bypass GlobalExceptionFilter retry logic","Wrap refreshTokens call in try-catch; return false to force re-authentication","1. Wrap line 85 in try { session = await this.authService.refreshTokens(sid); } catch(e) { this.guardLogger.warn('Token refresh failed: '+e.message); return false; }; 2. Log correlation ID for observability; 3. Add unit test simulating Keycloak 503",S,Backend,Low — purely additive error handling,Unit test: mock authService.refreshTokens to throw; assert guard returns false (not 500),Open,hybrid-auth.guard.ts line 81-86
P0-004,Security,Common / Idempotency,src/common/interceptors/idempotency.interceptor.ts,TOCTOU race condition — three separate Redis checks exist (line 88 / 104 / 112) without atomic locking; two concurrent identical requests can both pass the lock check and execute the same operation,Critical,P0,"Duplicate charges / duplicate records / duplicate emails if client retries under load; violates idempotency contract","Replace three-step check with single atomic Lua script (check + lock in one command)","1. Write Lua script: if redis.call('exists',KEYS[1])==1 then return redis.call('get',KEYS[1]) end; if redis.call('set',KEYS[2],ARGV[1],'EX',ARGV[2],'NX')==false then return 'LOCKED' end; return nil; 2. Replace lines 88-116 with single script call; 3. Handle LOCKED response with 409 ConflictException; 4. Add integration test with concurrent requests",M,Backend,Medium — must test all idempotent endpoints after change,Concurrent test: fire same POST with same X-Idempotency-Key 10 times simultaneously; assert exactly 1 record created,Open,idempotency.interceptor.ts lines 88-116
P0-005,Performance,Common / Tenant,src/common/interceptors/tenant.interceptor.ts,2-3 uncached MongoDB queries per HTTP request: (1) session lookup via sessionService; (2) tenantRepo.findByAlias or findByKeycloakOrgId; (3) userRepo.findByKeycloakIdAndProvider for UUID resolution; (4) tenantRepo.findById for i18n; (5) userRepo.findById for i18n preferences — total up to 5 DB round-trips on every request,Critical,P0,"Under 100 rps this adds 500 extra MongoDB queries/sec; at 1000 rps MongoDB is overwhelmed with 5000 queries/sec from interceptor alone — direct path to production outage","Cache tenant alias→ObjectId and user i18n preferences in Redis with appropriate TTLs","1. Add RedisService injection to TenantInterceptor; 2. Cache alias→tenantId: key=tenant:alias:{alias} TTL=300s; 3. Cache tenantId→i18n: key=tenant:i18n:{tenantId} TTL=300s; 4. Cache userId→mongoId: key=user:keycloak:{kcId} TTL=300s; 5. Invalidate on tenant/user update events; 6. Add CacheInterceptor for session lookup (already has LRU)",M,Backend,Low — cache-aside pattern; stale data window is 5 min (acceptable for i18n),Load test 200 rps before/after; measure avg MongoDB query count per second using Atlas monitoring,Open,tenant.interceptor.ts lines 101-147 and 233-258
P1-001,Security,Auth / Session,src/auth/services/session.service.ts,Session LRU cache is implemented as FIFO not LRU — eviction uses lru.keys().next().value (oldest insertion) rather than least-recently-used; under active concurrent users the cache evicts still-active sessions and forces unnecessary Redis round-trips,High,P1,"Active users get their in-memory session cache evicted; every request hits Redis; cache hit rate approaches 0% under normal usage — defeats the purpose of the in-memory cache","Replace Map-based FIFO with a proper LRU library (lru-cache v11)","1. npm install lru-cache; 2. Replace Map<string LruEntry> with new LRUCache<string LruEntry>({max:1000 ttl:60_000}); 3. Remove manual eviction logic setLru(); 4. Update get/set calls to use cache.get/set; 5. Verify TTL-based auto-eviction works",S,Backend,Low — drop-in replacement; same interface,Unit test: insert 1001 sessions; verify entry 1 was evicted; verify recently-used entry survives,Open,session.service.ts — custom LRU implementation around line 100-120
P1-002,Security,Redis / Lock,src/redis/redis-lock.service.ts,When Redis lock heartbeat fails to extend (lockLost=true) the callback continues executing normally; the lock loss is only logged as an error — there is no fail-fast mechanism to stop the operation that may now run concurrently with another process,High,P1,"Two worker processes can run the same job simultaneously after lock expiry — leads to duplicate automation executions / double-writes / race conditions in SLA processing","Throw a LockLostError when lockLost is detected; let caller decide retry strategy","1. Add check after callback returns: if (lockLost) throw new Error('Lock expired during execution of '+key); 2. Add LockLostError custom exception class; 3. Update callers (auto-resolve processor / conversation-lock service) to handle LockLostError gracefully with retry",S,Backend,Low — throwing where previously logging; existing callers should handle the error,Unit test: simulate heartbeat failure mid-execution; assert LockLostError is thrown; assert no duplicate writes,Open,redis-lock.service.ts lines 53-80
P1-003,Security,Common / Cache,src/common/cache/cache-invalidation.service.ts,Redis scanStream error event is not handled — if Redis connection drops during SCAN the stream emits 'error' but no listener exists; the Promise returned by clearCacheByPattern never settles causing the caller to hang indefinitely,High,P1,"Cache invalidation hangs silently during Redis network blips; requests depending on invalidation complete stack up; potential memory leak from unresolved promises","Add stream.on('error' ...) handler to reject the Promise","1. Add: stream.on('error' (err) => { this.logger.error('Cache scan error:'+err.message); reject(err); }); 2. Add settled flag to prevent double-resolve; 3. Add timeout: reject after 30s if stream never ends",S,Backend,Low — additive error handling,Integration test: simulate Redis disconnect during scan; assert Promise rejects within 5s,Open,cache-invalidation.service.ts — stream.on('end'...) block missing error branch
P1-004,Security,API Global,src/main.ts,No rate limiting middleware configured anywhere in the application — auth endpoints / webhook endpoints / list endpoints are all unprotected from brute force and DoS,High,P1,"Brute-force login attempts; DoS via expensive list queries; webhook spam fills BullMQ queues; IMAP polling triggered excessively","Install @nestjs/throttler; apply global guard with per-IP limits; add stricter limits on auth endpoints","1. npm install @nestjs/throttler; 2. Import ThrottlerModule.forRoot([{ttl:60000 limit:100}]) in AppModule; 3. Add APP_GUARD ThrottlerGuard globally; 4. Apply @Throttle({default:{limit:5 ttl:900000}}) on /auth/login and /auth/callback; 5. Apply @Throttle({default:{limit:10 ttl:60000}}) on /webhooks/* inbound; 6. Skip throttle on internal/health routes",M,Backend,Medium — may affect legitimate high-frequency API consumers; add bypass for service accounts,Test: fire 110 requests/min from same IP; assert 101st returns 429; verify auth endpoint allows only 5 failures per 15 min,Open,main.ts — no ThrottlerModule found anywhere in codebase
P1-005,Security,Permissions / Cache,src/common/permissions/authz-permission-cache.service.ts,Permission cache TTL is 5 minutes with no event-driven invalidation; if a user's role is downgraded or revoked they retain full permissions for up to 5 minutes — no call to invalidateUser() exists in role/user update flows,High,P1,"Revoked agents retain access for up to 5 min; GDPR/compliance risk — ex-employee can still access data; security incident window after role change","Emit cache invalidation event from UsersService and RolesService on update/delete","1. In UsersService.update() and delete() emit: this.eventEmitter.emit('user.role.changed' {tenantId userId}); 2. In AuthzPermissionCacheService add @OnEvent('user.role.changed') to call invalidateUser(tenantId userId); 3. Reduce TTL from 5min to 1min in production; 4. Add Redis pub/sub invalidation for multi-instance deployments",M,Backend,Low — event-driven; no breaking changes,Test: update user role; assert next request within 1min uses new permissions; verify cache key is invalidated in Redis,Open,authz-permission-cache.service.ts line 16 — TTL constant and missing invalidation hook
